iter	Passed	Remaining
213	1807	1571
214	1815	1562
215	1824	1553
216	1831	1544
217	1840	1536
218	1848	1527
219	1856	1519
220	1864	1510
221	1873	1502
222	1881	1493
223	1890	1485
224	1898	1476
225	1904	1466
226	1913	1458
227	1920	1448
228	1928	1439
229	1936	1431
230	1945	1423
231	1962	1421
232	1974	1414
233	1982	1406
234	1991	1398
235	1999	1389
236	2007	1380
237	2014	1371
238	2023	1362
239	2030	1353
240	2039	1345
241	2047	1336
242	2055	1328
243	2064	1319
244	2072	1311
245	2079	1302
246	2088	1293
247	2095	1284
248	2102	1274
249	2110	1266
250	2117	1256
251	2125	1248
252	2132	1239
253	2140	1230
254	2148	1221
255	2157	1213
256	2166	1205
257	2175	1197
258	2183	1188
259	2192	1180
260	2198	1171
261	2206	1161
262	2213	1153
263	2220	1144
264	2228	1135
265	2237	1127
266	2247	1119
267	2262	1114
268	2274	1107
269	2282	1098
270	2290	1090
271	2296	1080
272	2304	1072
273	2311	1062
274	2319	1054
275	2327	1045
276	2333	1036
277	2342	1027
278	2349	1019
279	2358	1010
280	2364	1001
281	2372	992
282	2379	983
283	2388	975
284	2395	966
285	2403	958
286	2410	949
287	2418	940
288	2425	931
289	2433	923
290	2440	914
291	2447	905
292	2457	897
293	2466	889
294	2473	880
295	2480	871
296	2488	862
297	2495	854
298	2503	845
299	2511	837
300	2520	828
301	2527	820
302	2536	811
303	2545	803
304	2557	796
305	2569	789
306	2578	781
307	2587	772
308	2595	764
309	2604	756
310	2612	747
311	2621	739
312	2629	730
313	2637	722
314	2645	713
315	2653	705
316	2660	696
317	2668	688
318	2675	679
319	2683	670
320	2691	662
321	2699	653
322	2707	645
323	2717	637
324	2727	629
325	2741	622
326	2748	613
327	2759	605
328	2767	597
329	2775	588
330	2784	580
331	2792	571
332	2800	563
333	2807	554
334	2814	546
335	2822	537
336	2829	528
337	2837	520
338	2845	512
339	2853	503
340	2861	495
341	2870	486
342	2877	478
343	2885	469
344	2893	461
345	2902	452
346	2909	444
347	2918	436
348	2925	427
349	2933	419
350	2941	410
351	2949	402
352	2958	393
353	2967	385
354	2974	377
355	2984	368
356	2991	360
357	2999	351
358	3008	343
359	3016	335
360	3023	326
361	3032	318
362	3039	309
363	3047	301
364	3056	293
365	3065	284
366	3073	276
367	3081	267
368	3088	259
369	3097	251
370	3105	242
371	3113	234
372	3121	225
373	3132	217
374	3144	209
375	3155	201
376	3164	193
377	3172	184
378	3182	176
379	3192	168
380	3206	159
381	3218	151
382	3227	143
383	3241	135
384	3251	126
385	3267	118
386	3276	110
387	3284	101
388	3292	93
389	3300	84
390	3309	76
391	3316	67
392	3323	59
393	3332	50
394	3340	42
395	3347	33
396	3356	25
397	3365	16
398	3374	8
399	3383	0
