iter	Logloss
155	0.1192073636
156	0.1191757503
157	0.1191595048
158	0.1191351492
159	0.1191139171
160	0.1190816088
161	0.1190575314
162	0.1190335741
163	0.1190069098
164	0.1189803605
165	0.1189570301
166	0.1189406293
167	0.1189264971
168	0.1189130935
169	0.1188829947
170	0.118869346
171	0.1188362727
172	0.1188179179
173	0.1187945843
174	0.1187692677
175	0.1187550027
176	0.1187292331
177	0.1187106319
178	0.1186991824
179	0.1186739931
180	0.1186523062
181	0.1186297025
182	0.1186181293
183	0.1185969717
184	0.1185836186
185	0.1185662668
186	0.1185436136
187	0.1185265619
188	0.1185041351
189	0.1184856655
190	0.1184575221
191	0.1184439843
192	0.1184227362
193	0.1184034247
194	0.1183845265
195	0.1183688291
196	0.1183561178
197	0.118341959
198	0.1183172344
199	0.1182922166
200	0.1182749017
201	0.1182589862
202	0.1182315993
203	0.1182224971
204	0.1182030243
205	0.1181849043
206	0.1181558684
207	0.1181391672
208	0.1181244075
209	0.1180994637
210	0.1180814589
211	0.1180680309
212	0.1180475495
213	0.1180298438
214	0.1180143457
215	0.1179950014
216	0.1179846224
217	0.117968782
218	0.1179451131
219	0.1179232428
220	0.1179137252
221	0.1178979056
222	0.117884708
223	0.1178687205
224	0.1178569873
225	0.1178413175
226	0.1178024104
227	0.117789214
228	0.1177766523
229	0.1177507595
230	0.1177350731
231	0.1177273415
232	0.1177032992
233	0.1176892473
234	0.1176638826
235	0.117648348
236	0.1176263641
237	0.1176145223
238	0.1175990218
239	0.1175824374
240	0.1175701248
241	0.117555306
242	0.1175373486
243	0.1175283644
244	0.1175088846
245	0.1174914106
246	0.1174699763
247	0.1174508605
248	0.1174282279
249	0.1174091895
250	0.1173951743
251	0.1173773901
252	0.1173617792
253	0.1173397756
254	0.1173272342
255	0.1173105744
256	0.1173029776
257	0.1172829183
258	0.1172697278
259	0.1172534406
260	0.1172334604
261	0.1172242105
262	0.1172158973
263	0.1172051628
264	0.1171842547
265	0.1171676139
266	0.1171481024
267	0.1171375947
268	0.1171190707
269	0.1171028156
270	0.1170927514
271	0.1170797815
272	0.1170692394
273	0.1170550771
274	0.1170360358
275	0.1170253275
276	0.1170092683
277	0.1169947342
278	0.1169813451
279	0.1169673533
280	0.1169521058
281	0.1169415973
282	0.1169282329
283	0.1169187667
284	0.1169115074
285	0.1168976772
286	0.1168857191
287	0.116868222
288	0.1168570757
289	0.1168415486
290	0.1168295898
291	0.1168225829
292	0.1168134712
293	0.1168045877
294	0.1167819563
295	0.1167627445
296	0.1167543918
297	0.1167411425
298	0.1167313035
299	0.1167240975
300	0.1167084699
301	0.1166816374
302	0.1166704119
303	0.1166470296
304	0.1166383346
305	0.116620401
306	0.1166088408
307	0.1165960757
308	0.116585341
309	0.1165800722
310	0.1165658545
311	0.1165502565
312	0.1165395524
313	0.1165288201
314	0.1165175398
315	0.1165103931
316	0.1165022888
317	0.1164930028
318	0.1164795429
319	0.1164557836
320	0.1164495129
321	0.1164384898
322	0.1164320873
323	0.1164189311
324	0.1164062642
325	0.1163989171
326	0.1163814902
327	0.1163517422
328	0.1163341741
329	0.116320115
330	0.1163137925
331	0.1163023063
332	0.1162945692
333	0.1162829312
334	0.116269766
335	0.116258845
336	0.1162506043
337	0.1162446051
338	0.1162330042
339	0.116225783
340	0.116210908
341	0.1161947941
342	0.1161840155
343	0.1161728308
344	0.1161591004
345	0.1161485197
346	0.1161338356
347	0.1161212708
348	0.1161022547
349	0.1160776247
350	0.1160710719
351	0.1160531368
352	0.1160328463
353	0.1160204077
354	0.1160048774
355	0.1159921649
356	0.1159829095
357	0.1159720377
358	0.1159622837
359	0.1159515902
360	0.1159379468
361	0.1159169827
362	0.1159021742
363	0.1158942832
364	0.1158765807
365	0.1158648786
366	0.1158540634
367	0.1158420187
368	0.1158286331
369	0.1158210211
370	0.1158063996
371	0.1157933834
372	0.1157832168
373	0.1157727039
374	0.1157591805
375	0.1157448559
376	0.115721424
377	0.1157060032
378	0.1156943402
379	0.1156784804
380	0.115671074
381	0.1156614133
382	0.1156424807
383	0.1156312723
384	0.1156185501
385	0.115603564
386	0.1155882009
387	0.1155816446
388	0.1155683552
389	0.1155584251
390	0.1155467409
391	0.1155321086
392	0.1155119695
393	0.1155008685
394	0.115492038
395	0.1154789262
396	0.1154682678
397	0.1154550369
398	0.115443103
399	0.115430124
