iter	Logloss
0	0.4283526379
1	0.297510186
2	0.2317226405
3	0.1962632287
4	0.1737623922
5	0.1600897116
6	0.1495206397
7	0.1428642606
8	0.1393180331
9	0.1365239757
10	0.1340403217
11	0.132248765
12	0.1307958904
13	0.1298797873
14	0.1292081824
15	0.1286491542
16	0.1281106597
17	0.127515764
18	0.1271767368
19	0.1268390231
20	0.1265320172
21	0.1262207554
22	0.125963729
23	0.1256959547
24	0.1254482857
25	0.1252810768
26	0.1250954763
27	0.1249818224
28	0.1248223589
29	0.124667283
30	0.1245141567
31	0.1244124251
32	0.1242928831
33	0.1242213205
34	0.1241305858
35	0.124044591
36	0.1239868637
37	0.1239228832
38	0.1238425401
39	0.1237825578
40	0.1236577699
41	0.1235957666
42	0.1235393681
43	0.1234536669
44	0.1233846066
45	0.1233201258
46	0.1232477657
47	0.1232047314
48	0.1231090891
49	0.1230412773
50	0.1229737596
51	0.1229109178
52	0.1228570556
53	0.1227739895
54	0.1227026505
55	0.1226243706
56	0.1225684175
57	0.1225350648
58	0.1224845905
59	0.1224219061
60	0.1223608702
61	0.1223136363
62	0.1222675402
63	0.1222066232
64	0.1221636967
65	0.1221421134
66	0.1220705015
67	0.1220327066
68	0.1219782435
69	0.1219202774
70	0.1218884359
71	0.1218324753
72	0.1217978189
73	0.1217591988
74	0.1217112219
75	0.121654802
76	0.1216286137
77	0.1215876236
78	0.1215568704
79	0.1214961529
80	0.1214523577
81	0.1214107176
82	0.1213469604
83	0.1213124171
84	0.1212886953
85	0.1212593828
86	0.1212329048
87	0.1211845936
88	0.1211536607
89	0.1211082381
90	0.1210557842
91	0.121017551
92	0.1209676629
93	0.1209189662
94	0.1208755907
95	0.1208475493
96	0.1208109283
97	0.1207889588
98	0.1207612133
99	0.1207229338
100	0.120676656
101	0.1206386935
102	0.1205979606
103	0.120563107
104	0.1205386045
105	0.1205100779
106	0.1204855799
107	0.1204612386
108	0.1204351821
109	0.1203995985
110	0.1203682942
111	0.1203412437
112	0.1202959626
113	0.120270241
114	0.1202445792
115	0.1202132422
116	0.1201889573
117	0.1201700406
118	0.1201406055
119	0.1201173759
120	0.1200970741
121	0.1200535398
122	0.1200218911
123	0.1199846504
124	0.1199581879
125	0.1199273795
126	0.1198985545
127	0.1198575116
128	0.1198238208
129	0.1197983369
130	0.1197749913
131	0.1197544812
132	0.119728842
133	0.119711841
134	0.1196900988
135	0.1196735502
136	0.1196463884
137	0.1196197668
138	0.1195923756
139	0.1195686019
140	0.1195450117
141	0.1195234446
142	0.1195017711
143	0.1194839644
144	0.1194560544
145	0.1194324866
146	0.1194026407
147	0.119387011
148	0.1193706036
149	0.1193487504
150	0.1193311483
151	0.1193095467
152	0.1192834249
153	0.119260994
154	0.1192297208
